tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,floof,Dog_Class,dog_class_count,ratings_percentage,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,PHINEAS,0,0,0,0,1,floof,1,1.3,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,ORANGE,0.09704860000000001,False,BAGEL,0.08585110000000001,False,BANANA,0.07611,False,8853,39467
892177421306343426,2017-08-01 00:17:27 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,TILLY,0,0,0,0,1,floof,1,1.3,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,CHIHUAHUA,0.323581,True,PEKINESE,0.0906465,True,PAPILLON,0.0689569,True,6514,33819
891815181378084864,2017-07-31 00:18:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,ARCHIE,0,0,0,0,1,floof,1,1.2,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,CHIHUAHUA,0.716012,True,MALAMUTE,0.078253,True,KELPIE,0.0313789,True,4328,25461
891689557279858688,2017-07-30 15:58:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,DARLA,0,0,0,0,1,floof,1,1.3,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,PAPER_TOWEL,0.17027799999999998,False,LABRADOR_RETRIEVER,0.16808599999999999,True,SPATULA,0.0408359,False,8964,42908
891327558926688256,2017-07-29 16:00:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,FRANKLIN,0,0,0,0,1,floof,1,1.2,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,BASSET,0.555712,True,ENGLISH_SPRINGER,0.22576999999999997,True,GERMAN_SHORT-HAIRED_POINTER,0.175219,True,9774,41048
891087950875897856,2017-07-29 00:08:17 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,,0,0,0,0,1,floof,1,1.3,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,CHESAPEAKE_BAY_RETRIEVER,0.425595,True,IRISH_TERRIER,0.116317,True,INDIAN_ELEPHANT,0.07690219999999999,False,3261,20562
890971913173991426,2017-07-28 16:27:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,JAX,0,0,0,0,1,floof,1,1.3,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,APPENZELLER,0.34170300000000003,True,BORDER_COLLIE,0.199287,True,ICE_LOLLY,0.193548,False,2158,12041
890729181411237888,2017-07-28 00:22:40 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,,0,0,0,0,1,floof,1,1.3,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,POMERANIAN,0.566142,True,ESKIMO_DOG,0.17840599999999998,True,PEMBROKE,0.0765069,True,16716,56848
890609185150312448,2017-07-27 16:25:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,ZOEY,0,0,0,0,1,floof,1,1.3,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,IRISH_TERRIER,0.48757399999999995,True,IRISH_SETTER,0.193054,True,CHESAPEAKE_BAY_RETRIEVER,0.118184,True,4429,28226
890240255349198849,2017-07-26 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,CASSIE,1,0,0,0,0,doggo,1,1.4,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,PEMBROKE,0.511319,True,CARDIGAN,0.451038,True,CHIHUAHUA,0.029248200000000002,True,7711,32467
